                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.44924,                0.43162,                0.94649,                0.99096,                0.98534,                0.99389,                0.90876,                0.42182,                 0.2553,                   0.91,             0.00010166,             0.00010166,             0.00010166
                    129,                0.44925,                0.42984,                0.95309,                0.98939,                0.99194,                0.99455,                0.90643,                0.43011,                0.24968,                0.91721,             0.00010108,             0.00010108,             0.00010108
                    130,                0.43718,                0.41897,                0.93941,                0.99119,                0.98351,                 0.9936,                0.90751,                0.42079,                0.24997,                0.90765,              0.0001005,              0.0001005,              0.0001005
                    131,                0.44218,                0.42034,                0.95044,                0.99105,                0.98924,                0.99426,                0.90814,                0.42863,                0.25482,                0.91403,             9.9925e-05,             9.9925e-05,             9.9925e-05
                    132,                0.44193,                0.41882,                0.94438,                0.98903,                0.98689,                0.99455,                0.91129,                0.41902,                0.25069,                0.90844,             9.9347e-05,             9.9347e-05,             9.9347e-05
                    133,                0.44154,                0.41186,                0.95201,                 0.9903,                0.98426,                0.99432,                0.91032,                0.42014,                0.24969,                0.91283,              9.877e-05,              9.877e-05,              9.877e-05
                    134,                0.43482,                0.41603,                0.94099,                0.99004,                0.98673,                0.99428,                0.90846,                0.42303,                0.24892,                0.91523,             9.8192e-05,             9.8192e-05,             9.8192e-05
                    135,                0.43817,                0.41495,                0.94638,                0.98857,                0.98948,                0.99409,                0.91035,                0.42105,                0.24943,                0.91251,             9.7615e-05,             9.7615e-05,             9.7615e-05
                    136,                0.43376,                0.41063,                0.94535,                0.98663,                0.98525,                0.99425,                0.90979,                0.42076,                0.24936,                0.90954,             9.7037e-05,             9.7037e-05,             9.7037e-05
                    137,                0.43923,                0.41161,                0.93878,                0.98455,                0.98664,                0.99396,                0.90645,                0.43109,                0.25651,                0.91568,              9.646e-05,              9.646e-05,              9.646e-05
                    138,                0.44086,                0.41691,                0.94997,                0.98877,                0.98522,                0.99424,                0.90806,                0.42116,                0.25021,                0.91232,             9.5883e-05,             9.5883e-05,             9.5883e-05
                    139,                0.44069,                0.42334,                0.94849,                0.99048,                0.98889,                0.99413,                0.90747,                0.42229,                0.25102,                 0.9106,             9.5305e-05,             9.5305e-05,             9.5305e-05
                    140,                0.43894,                0.41704,                0.94877,                0.98933,                0.98549,                0.99419,                0.91004,                0.42259,                0.24836,                0.91105,             9.4727e-05,             9.4727e-05,             9.4727e-05
                    141,                 0.4361,                0.41412,                0.94696,                0.98477,                0.99026,                 0.9936,                0.90614,                0.42441,                0.25741,                0.91497,              9.415e-05,              9.415e-05,              9.415e-05
                    142,                0.42077,                0.39769,                   0.93,                0.98927,                0.99224,                0.99462,                0.90923,                0.42488,                 0.2477,                0.91628,             9.3573e-05,             9.3573e-05,             9.3573e-05
                    143,                0.42616,                  0.402,                0.93747,                0.99116,                 0.9881,                 0.9938,                0.90606,                0.42642,                0.25448,                0.91846,             9.2995e-05,             9.2995e-05,             9.2995e-05
                    144,                0.42936,                0.39915,                0.93713,                0.98996,                0.98759,                0.99412,                0.90789,                0.42225,                0.24912,                 0.9144,             9.2418e-05,             9.2418e-05,             9.2418e-05
                    145,                0.42702,                0.40306,                0.93687,                0.98959,                0.98799,                0.99425,                0.91099,                0.41875,                0.23918,                 0.9108,              9.184e-05,              9.184e-05,              9.184e-05
                    146,                0.42935,                0.40359,                0.93248,                0.98876,                 0.9907,                 0.9945,                0.90935,                0.42146,                0.24907,                0.91135,             9.1262e-05,             9.1262e-05,             9.1262e-05
                    147,                0.42814,                 0.4031,                0.93689,                0.98971,                  0.989,                0.99414,                0.91161,                0.41486,                0.24727,                 0.9072,             9.0685e-05,             9.0685e-05,             9.0685e-05
                    148,                0.42528,                0.39808,                0.93647,                0.98863,                0.98597,                0.99432,                0.91078,                0.42104,                0.24347,                0.91242,             9.0108e-05,             9.0108e-05,             9.0108e-05
                    149,                0.43061,                0.39882,                0.93848,                0.98906,                0.98967,                0.99435,                0.90968,                0.42164,                0.24153,                0.91375,              8.953e-05,              8.953e-05,              8.953e-05
                    150,                0.42147,                0.38546,                0.93639,                0.98517,                0.99056,                0.99436,                 0.9087,                0.42025,                0.24248,                0.91389,             8.8953e-05,             8.8953e-05,             8.8953e-05
